Unnamed:_0,tags,value,series_id
5,cik      ,0000772129                                             ,S000005485
5,cik      ,0001485894                                             ,S000054488
5,cik      ,0000908695                                             ,S000037227
5,cik      ,0000772129                                             ,S000077554
5,cik      ,0000772129                                             ,S000005489
5,cik      ,0000772129                                             ,S000034948
5,cik      ,0000772129                                             ,S000004922
5,cik      ,0000320351                                             ,S000007459
5,cik      ,0000819118                                             ,S000065248
5,cik      ,0000880195                                             ,S000040658
5,cik      ,0000320351                                             ,S000007462
5,cik      ,0000908695                                             ,S000037226
5,cik      ,0000320351                                             ,S000007487
5,cik      ,0000772129                                             ,S000005488
5,cik      ,0000035315                                             ,S000054519
5,cik      ,0001659326                                             ,S000057630
5,cik      ,0001295908                                             ,S000010517
5,cik      ,0000320351                                             ,S000007481
5,cik      ,0001100663                                             ,S000071770
5,cik      ,0000908695                                             ,S000012927
5,cik      ,0001485894                                             ,S000060180
5,cik      ,0000718891                                             ,S000005448
5,cik      ,0000320351                                             ,S000007473
5,cik      ,0000819118                                             ,S000006023
5,cik      ,0001485894                                             ,S000063668
5,cik      ,0000035315                                             ,S000017679
5,cik      ,0000772129                                             ,S000068925
5,cik      ,0000908695                                             ,S000012929
5,cik      ,0000035315                                             ,S000017677
5,cik      ,0000869365                                             ,S000015878
5,cik      ,0000908695                                             ,S000012897
5,cik      ,0000772129                                             ,S000072426
5,cik      ,0001815558                                             ,S000069481
5,cik      ,0001485894                                             ,S000074053
5,cik      ,0000320351                                             ,S000007463
5,cik      ,0000718891                                             ,S000005447
5,cik      ,0001208252                                             ,S000010534
5,cik      ,0000320351                                             ,S000007493
